gene,pagerank
AKT1,0.002811615740192268
TP53,0.0025555668231287076
ERBB2,0.00210214018594859
NFKB1,0.002020443535721895
EGFR,0.0019387569511906022
ESR1,0.0019305682791318289
TGFB1,0.0019266576227883435
MAPK1,0.001920882656796161
CTNNB1,0.0018605284332742188
MYC,0.0016227470842926277
STAT3,0.0015083126081321112
BCL2,0.0014701138883910828
MTOR,0.0014580126308668976
TNF,0.0014328560955884312
CDH1,0.0014122690450591258
VEGFA,0.0013980301989863168
BRCA1,0.0013966053243108232
CCND1,0.0013591212194916757
IL6,0.001315146935947498
EREG,0.0012769805788385615
HIF1A,0.0012493626286783717
EGF,0.0012294717184460132
CD274,0.0012043416938115384
PTEN,0.001193968274763397
MMP9,0.0011938435674452065
MAPK3,0.0011874438277426045
CASP3,0.0011607977748772599
PGR,0.001126237102110012
AR,0.0011177699408926127
CD8A,0.0010665342400004562
KRAS,0.001055627719609443
MAPK8,0.0010369579722423223
IFNG,0.001036323146652116
SRC,0.001032788080129161
SNAI1,0.0010177823773474704
MMP2,0.0010005232553197936
BAX,0.0009988776670951712
CD4,0.0009862887820727888
YAP1,0.0009663831559369179
IGF1,0.0009597652286144374
PIK3R1,0.000935684012609762
MAP2K7,0.0009333486096455288
CDKN1A,0.0009323399718866947
PTK2,0.0009099336140647774
INS,0.0009096731601809672
VIM,0.000907418141760874
MAPK14,0.0008963659176047028
GSK3B,0.0008896146909372131
CD44,0.000852196239699021
JUN,0.0008383115438055161
H3P16,0.0008355603003035223
RELA,0.0008286452843064313
IL1B,0.0008284588897706604
LEP,0.0008260730161710299
BRAF,0.0008140890821703967
IGF1R,0.0008047287789673294
TNFSF10,0.0008040049395928021
NFE2L2,0.0007892158872969498
PARP1,0.0007864281018618184
ABL1,0.000785869649248077
RB1,0.0007672082003017706
CXCL8,0.0007671778278018736
PDCD1,0.000765570210412835
EZH2,0.0007632987406523003
MDM2,0.0007543471750251397
ZEB1,0.0007534449687137647
PIK3CA,0.0007318005341553592
BRCA2,0.0007201323536608151
CDKN2A,0.0007175543796405806
BCL2L1,0.0007166343994084375
CDH2,0.0007109086793917327
SNAI2,0.0007045698785402267
DCTN6,0.0007041567713460757
ESR2,0.000698122372461808
ATM,0.0006979909297797116
TWIST1,0.0006966903252970863
NOTCH1,0.0006942886238491626
FN1,0.0006841349209588847
HSP90AA1,0.0006838782067523368
E2F1,0.0006797953495675205
ERBB3,0.0006734195318381939
CDK4,0.0006713757674885936
FOXM1,0.000667244165370135
CXCR4,0.0006607720383295767
PTGS2,0.0006506131876180898
HGF,0.0006472431291995521
PRL,0.000646035658390237
SMAD3,0.0006412778091779643
IL2,0.0006382840549958017
CDK2,0.0006355103122560988
ALK,0.0006304578404540841
RAC1,0.0006290422339584549
CDK1,0.0006237292547103798
FGF2,0.0006190598765175414
ABCB1,0.0006184605949974964
PROM1,0.0006149541245710964
BCR,0.0006099363290934883
IL10,0.0006056270244993083
CDKN1B,0.0006051584007102461
CASP8,0.0006047522462511235
CASP9,0.0005989863869433477
PTK2B,0.0005989660154320205
STAT5A,0.0005972347825741207
JAK2,0.0005959049961263261
SOX2,0.0005949913696417881
PPARG,0.0005949649875373585
SLTM,0.0005930689055621016
PCNA,0.000590838114106886
MUC1,0.0005890115053160166
RET,0.0005877520475789479
RHOA,0.0005823853183942202
MIR21,0.000580790444782969
PLAU,0.0005786817124323226
CDK6,0.0005765892169724712
MET,0.0005739491771585207
APP,0.0005728202247497838
PRRT2,0.0005716365115883693
CYP19A1,0.0005711825391049765
EP300,0.0005711533389449022
ITGB1,0.000564860374141739
FOS,0.0005622099941546276
FOXO3,0.0005620212350359201
ZHX2,0.0005615991033458
TENM1,0.0005600188124564458
SIRT1,0.0005516643484299284
STK11,0.0005486067182303767
PLK1,0.0005382054598660813
SMAD4,0.0005378279749071039
TXK,0.0005372564666123853
CXCL12,0.0005306742693768295
CREB1,0.0005228684155579887
POU5F1,0.0005218612023809222
GLI1,0.0005215696342201857
CCNB1,0.0005208347133562519
COX2,0.0005159487080861479
TLR4,0.0005144289997117314
FAS,0.000513962964850125
SPP1,0.0005109619153611755
IL17A,0.0005095729334793507
SMAD2,0.0004963495945898086
MIR34A,0.000494162678002487
DNMT1,0.0004940956256368839
BCL2L11,0.0004935289608395249
NANOG,0.0004925104837060384
STAT1,0.0004913973819331049
RPS6KB1,0.0004910213066663965
IFNA1,0.0004909395539212197
MCL1,0.0004884088997333667
JUNB,0.0004874831145514814
CHEK1,0.0004847774282254209
CCL2,0.0004837644426114965
IL4,0.00047758680105303966
AHR,0.0004769429555985108
FOXO1,0.00047672471066334207
CYCS,0.0004760151265235388
AURKA,0.0004743807455398662
RAD51,0.00047327989830930884
MAP2K1,0.00047194675920159314
IGF2,0.00047168417817501797
TNFSF11,0.0004694819834268941
IL1A,0.00046883027318934554
SHH,0.00046638798418837806
IGFBP3,0.00046498939241029937
CAV1,0.00046437635076488715
NFKBIA,0.00046317769595289503
KDR,0.0004614307049289392
PTGDR,0.00045803691103426354
CREBBP,0.00045483840101684397
FOXP3,0.0004542560367611674
CD24,0.0004539650756339856
MYCN,0.00045265251760969377
HDAC9,0.000451268199787515
PLAUR,0.00044995301591765636
BMI1,0.00044959023637394584
MALAT1,0.00044854642992117854
KLK3,0.0004460235097220406
NR4A1,0.0004448928448213653
CD19,0.0004426640051788259
RAF1,0.0004409105550536133
CCNA2,0.0004401628402003004
HRAS,0.00043875508853770547
SERPINE1,0.0004384747483314936
FGFR1,0.00043392557323712833
CTLA4,0.0004332447408642182
APC,0.00043227861226944985
KMT2A,0.0004320556254005709
CD40,0.00043009298209019555
PRKAA1,0.0004264825058757597
KIT,0.00042548774695637826
ATR,0.00042536303801709235
PRKAA2,0.0004230048073756427
TGFA,0.0004226937259776856
GH1,0.00042204142097512656
TAFAZZIN,0.00041999223976037524
HDAC1,0.0004192499313890368
MMP14,0.00041783847146591895
HSPA4,0.0004171440149987491
CDC42,0.00041559952174063117
